ngay_dang,loai_hinh,dien_tich,gia,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tinh_trang_noi_that,link
09/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 1",49 m²,"1,55 tỷ",Sổ đỏ/ Sổ hồng,2.0,1.0,Cơ bản,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-1-xa-binh-loi-1/ban-2pn-1wc-49m2-view-noi-khu-tang-mat-day-du-tien-ich-gia-chi-tu-1-5-ty-1-9-ty-pr44212185
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 10A",37 m²,"1,79 tỷ",Sổ đỏ/ Sổ hồng,2,,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-10a-phuong-tan-tao/ban-cc-tai-binh-chi-minh-1-79-ty-37m2-gia-uu-dai-pr44330464
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 10B",43 m²,"1,77 tỷ",Sổ đỏ/ Sổ hồng,2,,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-10b-phuong-binh-tri-dong-b/an-cc-2pn-43m2-1-77-ty-tai-tan-tp-hcm-pr44330612
21/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường 13B",37 m²,"1,68 tỷ",đầy đủ.,2,,đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-13b-phuong-binh-tri-dong/ban-cc-2pn-gia-uu-dai-1-679-ty-37m2-tai-tan-hcm-pr44330673
18/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường An Dương Vương",40 m²,"1,42 tỷ",Hợp đồng mua bán,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-an-duong-vuong-phuong-phu-thuong-1/ban-cc-tai-1-42-ty-40m2-day-du-tien-nghi-hot-pr44309629
26/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường An Trung 2",50 m²,"rẻ nhất bán CC mini view đẹp tại An Trung 2, 2,3 tỷ, 50 m2, 2PN, 2WC",Sổ đỏ/ Sổ hồng,2.0,2.0,,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-an-trung-2-phuong-an-hai-nam/b-cc-view-dep-tai-2-2-3-ty-50-m2-2pn-2wc-pr44295354
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bình Phú",47 m²,"1,6 tỷ",Sổ đỏ/ Sổ hồng,1.0,1.0,Không nội thất,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-binh-phu-phuong-10-4/ban-so-30-ong-10-q-6-dt-47m2-1-png-ngu-1wc-pr44053747
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",52 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,2.0,2.0,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-cc-52m2-2pn-2wc-tai-thanh-xuan-pr44272623
25/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",50 m²,"2,16 tỷ",Hợp đồng mua bán,2.0,2.0,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-ccmn-moi-tinh-2ngu-2wc-dong-nam-thanh-xuan-pr44373529
23/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",52 m²,"1,45 tỷ",Sổ đỏ/ Sổ hồng,2.0,1.0,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-lo-1-2p-ngu-full-do-tai-thanh-xuan-35-52m2-o-ngay-du-pccc-pr44045577
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",50 m²,"1,44 tỷ",Sổ đỏ/ Sổ hồng,2.0,2.0,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/ban-lo-1-2pn-o-thanh-xuan-tu-1ty4-2ty-full-do-pr44084199
19/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",52 m²,"1,49 tỷ",Sổ đỏ/ Sổ hồng,2.0,2.0,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-dinh/chinh-chu-mo-ban-kiot-1pn-2pn-tai-vu-tong-phan-kinh-doanh-duoc-pr42877694
06/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Bùi Xương Trạch",35 m²,"1,46 tỷ",Hợp đồng mua bán,1,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-bui-xuong-trach-phuong-khuong-trung/ban-gap-cc-1pn-1vs-35m2-1-46-ty-tai-thanh-xuan-hn-pr44195683
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cách Mạng Tháng Tám","59,63 m²","3,15 tỷ",Sổ hồng đầy đủ.,3,2,,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cach-mang-thang-tam-phuong-15-3/giam-600tr-ban-cmt8-p-15-q10-so-ng-day-du-gia-3-15-ty-pr44290276
16/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cách Mạng Tháng Tám","30,3 m²","1,5 tỷ",Sổ đỏ/ Sổ hồng,,,,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cach-mang-thang-tam-phuong-4-12/chinh-chu-ban-studio-gia-1-5-ty-thuong-luong-pr44289533
17/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cao Thắng","45,2 m²","3,6 tỷ",Sổ đỏ/ Sổ hồng,2,1,Đầy đủ,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cao-thang-phuong-2-14/-dep-lung-linh-full-noi-that-co-may-45-2m2-nhinh-3ty-pr42944057
22/10/2025,"Chung cư mini, căn hộ dịch vụ tại đường Cao Thị Chính",60 m²,"3,2 tỷ",Sổ đỏ/ Sổ hồng,2,1,,https://batdongsan.com.vn/ban-can-ho-chung-cu-mini-duong-cao-thi-chinh-phuong-phu-thuan-3/ban-cc-2pn-3-2-ty-60m2-pr44212453
